Name,Profit,Buy Price,Sell Price,Demand,Supply,Margin
"Cleric's Primordus Greatsword",150831.15,182026,391599,357,7,82.862420753079
"Berserker's Primordus Greatsword",33101,250797,334000,163,20,13.198323743904
"Valkyrie Primordus Greatsword",88590.5,200399,339990,199,10,44.207056921442
"Rampager's Primordus Greatsword",98994.3,190002,339998,166,6,52.101714718792
"Knight's Primordus Greatsword",103032,200416,357000,206,17,51.409069136197
"Cleric's Primordus Maul",107063.15,190434,349999,31,9,56.220606614365
"Berserker's Primordus Maul",66027,220421,337000,51,8,29.954949845977
"Valkyrie Primordus Maul",98935.2,190413,340412,13,7,51.958217138536
"Rampager's Primordus Maul",103692.2,190399,345992,33,10,54.460475107537
"Knight's Primordus Maul",105888.45,191505,349877,37,20,55.292786089136
"Strong Soft Wood Staff",2841.9,1911,5594,129,85,148.71271585557
"Carrion Krait Crook",4646.85,3852,10001,123,15,120.63473520249
"Knight's Krait Crook",2042.15,3905,6999,77,32,52.295774647887
"Valkyrie Krait Crook",2113.2,3828,6992,201,79,55.203761755486
"Carrion Pearl Quarterstaff",8044,26804,41000,252,58,30.010446202059
"Cleric's Pearl Quarterstaff",14409,31914,54500,168,35,45.149464184997
"Berserker's Pearl Quarterstaff",9635.45,42210,60997,198,29,22.827410566217
"Rampager's Pearl Quarterstaff",15650,25998,49000,153,25,60.196938226017
"Knight's Pearl Quarterstaff",7784.15,35053,50399,122,48,22.206801129718
"Valkyrie Pearl Quarterstaff",8049,30199,45000,132,15,26.653200437101
"Carrion Pearl Rod",5425.85,13273,22001,96,56,40.878851804415
"Cleric's Pearl Rod",5664.65,12871,21809,71,54,44.010954859762
"Berserker's Pearl Rod",10732,21566,38000,77,61,49.763516646573
"Rampager's Pearl Rod",12308.75,13015,29795,52,26,94.573568958894
"Knight's Pearl Rod",4769.9,12903,20794,49,22,36.967371929009
"Valkyrie Pearl Rod",5178.1,13066,21466,52,36,39.630338282565
"Carrion Pearl Conch",2930,14068,20000,39,20,20.827409724197
"Cleric's Pearl Conch",13772.3,11367,29578,55,18,121.16037652855
"Rampager's Pearl Conch",5456.6,11793,20296,76,37,46.269821080302
"Knight's Pearl Conch",5240.15,11587,19799,44,39,45.224389401916
"Carrion Pearl Trident",5738.65,10825,19489,59,48,53.012933025404
"Cleric's Pearl Trident",6610.45,11303,21077,59,43,58.484030788286
"Berserker's Pearl Trident",15296.15,16202,37059,63,24,94.409023577336
"Rampager's Pearl Trident",6656.5,11115,20910,78,42,59.887539361224
"Knight's Pearl Trident",4978,12020,20000,48,35,41.414309484193
"Valkyrie Pearl Trident",5414.8,11488,19888,108,44,47.134401114206
"Ravaging Bandit Spire",2773.5,5427,9650,108,42,51.105583195135
"Rejuvenating Bandit Spire",3478,6295,11500,52,25,55.250198570294
"Honed Bandit Spire",4941.95,5483,12267,139,15,90.132226883093
"Hearty Bandit Spire",3146.8,6701,11588,72,43,46.960155200716
"Rejuvenating Dredge Pillar",3620.65,6143,11489,44,27,58.939443268761
"Strong Dredge Pillar",3735.7,4815,10062,54,43,77.584631360332
"Hearty Dredge Pillar",8035.55,2131,11963,62,42,377.07883622712
"Cleric's Ogre Warstaff",14541.8,5931,24088,69,7,245.1829371101
"Berserker's Ogre Warstaff",11001.75,5057,18895,41,25,217.55487443148
"Rampager's Ogre Warstaff",5628.2,3679,10952,28,8,152.98178852949
"Rejuvenating Bandit Trident",2391.15,1856,4999,88,21,128.83351293103
"Vigorous Bandit Trident",2693.15,1554,4999,49,14,173.30437580438
"Hearty Bandit Trident",4822.15,1975,7999,28,10,244.15949367089
"Rejuvenating Dredge Trident",2484,2614,6000,32,18,95.026778882938
"Carrion Ogre Trident",2758.25,814,4205,93,19,338.85135135135
"Cleric's Ogre Trident",3258.7,1484,5582,41,17,219.58894878706
"Valkyrie Ogre Trident",3931.45,1215,6057,36,16,323.57613168724
"Rampager's Ogre Trident",3374.6,870,4996,96,71,387.88505747126
"Ravaging Bandit Baton",4619.15,3878,9999,85,41,119.11165549252
"Rejuvenating Bandit Baton",6471.3,1940,9898,43,34,333.57216494845
"Strong Bandit Baton",2360.3,6136,9998,57,27,38.466427640156
"Vigorous Bandit Baton",3345.65,5398,10289,87,20,61.979436828455
"Honed Bandit Baton",3418.65,5903,10969,58,39,57.913772657971
"Vigorous Dredge Baton",2271.6,4013,7396,70,48,56.606030401196
"Carrion Ogre Truncheon",3359.8,4006,8668,45,12,83.869196205691
"Cleric's Ogre Truncheon",5741.8,3001,10288,31,13,191.3295568144
"Valkyrie Ogre Truncheon",5355.1,1448,8006,37,12,369.8273480663
"Berserker's Ogre Truncheon",4484.8,3085,8908,63,37,145.37439222042
"Rampager's Ogre Truncheon",4889.15,1976,8079,29,25,247.4266194332
"Rejuvenating Bandit Focus",2938.9,5775,10254,50,16,50.890043290043
"Strong Bandit Focus",2761.3,5735,9998,37,30,48.148212728858
"Vigorous Bandit Focus",2873.05,5534,9893,37,31,51.916335381279
"Hearty Bandit Focus",3182.3,5229,9898,51,29,60.858672786384
"Valkyrie Ogre Effigy",3842.4,1514,6304,76,18,253.79128137384
"Rampager's Ogre Effigy",2728.75,1175,4595,30,23,232.23404255319
"Strong Iron Pistol",2365.85,1305,4321,464,30,181.29118773946
"Strong Soft Wood Harpoon Gun",2121.7,666,3282,84,26,318.57357357357
"Rampager's Krait Recurve Bow",4394.7,2898,8582,59,51,151.64596273292
"Cleric's Pearl Stinger",12192.4,13802,30584,83,37,88.337922040284
"Berserker's Pearl Stinger",27847,44401,85000,260,9,62.717055922164
"Carrion Pearl Stinger",4650.9,13702,21594,62,35,33.943219967888
"Knight's Pearl Stinger",4851.9,15201,23594,96,47,31.918294849023
"Valkyrie Pearl Stinger",4395,14303,22000,134,47,30.7278193386
"Carrion Pearl Needler",9582.55,20202,35043,79,24,47.43366993367
"Cleric's Pearl Needler",7286.1,20410,32586,135,33,35.698677119059
"Rampager's Pearl Needler",15309.55,18504,39783,99,36,82.736435365326
"Knight's Pearl Needler",8025.75,20205,33215,63,51,39.721603563474
"Valkyrie Pearl Needler",8086,20302,33400,119,32,39.828588316422
"Carrion Pearl Siren",5595.8,11392,19988,74,27,49.120435393258
"Cleric's Pearl Siren",6775.45,11580,21597,75,34,58.509930915371
"Berserker's Pearl Siren",24430,35068,70000,53,9,69.664651534162
"Rampager's Pearl Siren",5126.9,11781,19894,49,35,43.518377047789
"Knight's Pearl Siren",4399.75,13172,20675,39,26,33.40229274218
"Valkyrie Pearl Siren",12511,11967,28800,66,53,104.54583437787
"Cleric's Pearl Brazier",5687.3,11309,19998,64,24,50.290034485808
"Berserker's Pearl Brazier",8231.7,20668,34002,68,37,39.828236887943
"Rampager's Pearl Brazier",5335.35,11485,19791,47,19,46.454941227688
"Knight's Pearl Brazier",4678.15,13169,20999,65,37,35.523957779634
"Valkyrie Pearl Brazier",4826.15,12171,19999,65,24,39.652863363733
"Carrion Pearl Handcannon",9144.7,15369,28842,46,33,59.500943457609
"Berserker's Pearl Handcannon",24687.1,51901,90106,118,26,47.565750178224
"Rampager's Pearl Handcannon",18890.25,15503,40465,54,26,121.84899696833
"Valkyrie Pearl Handcannon",11282.75,18869,35475,67,21,59.7951666755
"Cleric's Krait Handgun",3363.3,3008,7498,42,14,111.81183510638
"Rampager's Krait Handgun",4989.4,2900,9284,74,43,172.04827586207
"Carrion Pearl Blunderbuss",5224.75,12704,21095,107,16,41.126810453401
"Cleric's Pearl Blunderbuss",5460.8,11731,20228,135,30,46.550166226238
"Rampager's Pearl Blunderbuss",5559.2,12214,20912,57,16,45.514982806615
"Knight's Pearl Blunderbuss",17092.65,12204,34469,52,28,140.05776794494
"Valkyrie Pearl Blunderbuss",5838.15,12604,21699,58,33,46.319819105046
"Carrion Pearl Speargun",5240.05,11327,19493,67,37,46.261587357641
"Cleric's Pearl Speargun",5777,11221,20000,73,17,51.483824971036
"Berserker's Pearl Speargun",13990.7,40409,64002,47,12,34.622732559578
"Rampager's Pearl Speargun",5515.6,11224,19696,64,23,49.141126158232
"Knight's Pearl Speargun",6032.95,11634,20787,60,32,51.856197352587
"Valkyrie Pearl Speargun",7857.75,11601,22895,61,33,67.733385053013
"Ravaging Bandit Short Bow",5828.8,4104,11688,47,17,142.02729044834
"Rejuvenating Bandit Short Bow",6227.35,2093,9791,66,30,297.53225035834
"Honed Bandit Short Bow",2992.6,6097,10696,160,38,49.08315565032
"Strong Bandit Short Bow",2626.8,5674,9768,64,30,46.295382446246
"Vigorous Bandit Short Bow",4745.6,3562,9776,102,49,133.22852330152
"Hearty Bandit Short Bow",3136.05,5220,9833,71,34,60.077586206897
"Ravaging Dredge Short Bow",8470.15,5042,15899,50,9,167.99186830623
"Rejuvenating Dredge Short Bow",4397.5,2613,8250,32,10,168.29314963643
"Honed Dredge Short Bow",3352.3,5569,10498,68,51,60.195726342252
"Vigorous Dredge Short Bow",3502.15,4655,9599,46,45,75.234156820623
"Carrion Ogre Short Bow",4301.6,1728,7096,133,13,248.93518518519
"Cleric's Ogre Short Bow",4373.9,1739,7194,37,12,251.51811385854
"Valkyrie Ogre Short Bow",4374.1,1613,7046,37,10,271.17792932424
"Berserker's Ogre Short Bow",5670.25,4107,11505,66,11,138.06306306306
"Rampager's Ogre Short Bow",3514.25,1996,6485,43,16,176.06462925852
"Ravaging Bandit Bugle",3351.9,4206,8894,62,15,79.693295292439
"Rejuvenating Bandit Bugle",2613.75,5013,8975,49,29,52.139437462597
"Honed Bandit Bugle",2288.15,5954,9699,57,35,38.430466913
"Strong Bandit Bugle",2365.25,6035,9885,38,32,39.192212096106
"Hearty Bandit Bugle",2881.95,5520,9887,52,17,52.209239130435
"Rejuvenating Dredge Double Horn",4486.8,3151,8988,50,22,142.39289114567
"Honed Dredge Double Horn",3124.45,6646,11497,45,27,47.012488715017
"Strong Dredge Double Horn",3299.4,6137,11104,39,14,53.762424637445
"Vigorous Dredge Double Horn",3757.6,4720,9976,29,28,79.610169491525
"Hearty Dredge Double Horn",4279.15,3555,9219,25,14,120.36990154712
"Berserker's Ogre Harbinger",2568.7,882,4062,32,24,291.2358276644
"Knight's Ogre Harbinger",2969.15,768,4399,68,36,386.60807291667
"Rejuvenating Bandit Torch",4011.55,2585,7763,61,37,155.18568665377
"Honed Bandit Torch",5361.15,3051,9899,62,23,175.71779744346
"Hearty Bandit Torch",2377.95,6024,9887,54,44,39.474601593625
"Honed Dredge Lamp",3519.3,4807,9798,38,33,73.211982525484
"Strong Dredge Lamp",4864.7,3533,9882,64,14,137.69317860175
"Hearty Dredge Lamp",4567.6,3502,9496,53,14,130.42832667047
"Valkyrie Ogre Blaze",2869.4,736,4244,85,42,389.86413043478
"Berserker's Ogre Blaze",4098,1085,6100,101,12,377.69585253456
"Rampager's Ogre Blaze",3042,781,4500,143,8,389.50064020487
"Knight's Ogre Blaze",2918.3,733,4298,86,15,398.1309686221
"Ravaging Bandit Longbow",2829.65,5574,9889,72,19,50.765159669896
"Rejuvenating Bandit Longbow",5899.9,2508,9894,94,19,235.24322169059
"Honed Bandit Longbow",4804.85,4051,10421,120,39,118.60898543569
"Strong Bandit Longbow",2373.05,6119,9993,89,44,38.781663670534
"Vigorous Bandit Longbow",3328,6258,11280,84,29,53.179929689997
"Hearty Bandit Longbow",2327,6154,9980,105,42,37.812804679883
"Rejuvenating Dredge Reflex Bow",3289,5209,10000,51,14,63.140717988098
"Vigorous Dredge Reflex Bow",2344.15,5728,9499,59,46,40.924406424581
"Hearty Dredge Reflex Bow",3834.8,4653,9988,104,20,82.415645819901
"Carrion Ogre Hornbow",3817.6,4252,9496,100,20,89.783631232361
"Valkyrie Ogre Hornbow",5487.05,2733,9673,72,20,200.77021587999
"Berserker's Ogre Hornbow",7109,4772,13980,55,13,148.97317686505
"Rampager's Ogre Hornbow",7862.15,2760,12499,38,7,284.86050724638
"Rejuvenating Bandit Revolver",6027.15,2385,9899,57,46,252.7106918239
"Honed Bandit Revolver",4327.25,5501,11565,72,11,78.662970369024
"Strong Bandit Revolver",2388.35,6136,10031,69,28,38.923565840939
"Vigorous Bandit Revolver",2694.45,5648,9817,67,27,47.706267705382
"Hearty Bandit Revolver",2765.7,5700,9962,65,19,48.521052631579
"Ravaging Dredge Firearm",3108,7005,11900,78,37,44.368308351178
"Honed Dredge Firearm",3437.45,6452,11637,81,42,53.277278363298
"Carrion Ogre Flintlock",6329.15,3766,11879,81,12,168.06027615507
"Berserker's Ogre Flintlock",4702.85,5683,12221,63,8,82.752947386944
"Rampager's Ogre Flintlock",4845,4588,11100,73,14,105.60156931125
"Knight's Ogre Flintlock",7138.15,2209,10999,63,10,323.13942960616
"Ravaging Bandit Musket",4501.75,4077,10095,42,9,110.41819965661
"Rejuvenating Bandit Musket",3620.6,4058,9036,65,22,89.221291276491
"Honed Bandit Musket",2344.6,6065,9896,56,42,38.657873042045
"Vigorous Bandit Musket",3098.8,5372,9968,63,14,57.684288905436
"Hearty Bandit Musket",3434.1,4814,9706,72,28,71.335687577898
"Ravaging Dredge Boomstick",6487.75,2941,11095,44,7,220.59673580415
"Rejuvenating Dredge Boomstick",5155.35,2825,9391,47,25,182.49026548673
"Honed Dredge Boomstick",2992.2,6808,11532,59,28,43.951233842538
"Strong Dredge Boomstick",3042.9,5110,9594,74,64,59.547945205479
"Vigorous Dredge Boomstick",4005.1,5569,11266,37,15,71.917759023164
"Hearty Dredge Boomstick",3313.2,4753,9492,41,24,69.707553124343
"Ravaging Bandit Harpoon Gun",3216.1,5185,9886,47,20,62.02700096432
"Rejuvenating Bandit Harpoon Gun",2914.1,5487,9886,50,15,53.109167122289
"Vigorous Bandit Harpoon Gun",2300.25,6100,9885,33,14,37.709016393443
"Hearty Bandit Harpoon Gun",6067.45,2377,9937,25,19,255.25662599916
"Ravaging Dredge Harpoon Gun",9030.35,2741,13851,68,37,329.45457862094
"Strong Dredge Harpoon Gun",2854.55,6479,10983,74,56,44.058496681587
"Vigorous Dredge Harpoon Gun",4228.95,5210,11107,25,17,81.169865642994
"Hearty Dredge Harpoon Gun",5251.8,3661,10488,65,13,143.45260857689
"Carrion Ogre Harpoon Gun",3887.4,3254,8404,51,10,119.46527350953
"Cleric's Ogre Harpoon Gun",4847.95,3554,9887,34,9,136.40827236916
"Valkyrie Ogre Harpoon Gun",3271.2,4268,8872,50,27,76.644798500469
"Berserker's Ogre Harpoon Gun",7679.95,4768,14647,44,14,161.07277684564
"Knight's Ogre Harpoon Gun",6245.95,2717,10547,41,13,229.88406330512
"Rabid Beaded Greataxe",4253.3,2067,7438,52,23,205.77164973391
"Rabid Beaded Claymore",3177,3536,7900,207,69,89.847285067873
"Rabid Beaded Stinger",4009.05,5435,11113,101,11,73.763569457222
"Rabid Beaded Shooter",2872.35,2235,6011,75,7,128.51677852349
"Rabid Beaded Wand",2556.3,2081,5458,248,107,122.83998077847
"Rabid Beaded Needler",6428,2835,10900,79,17,226.73721340388
"Rabid Beaded Lacerator",7197,3358,12420,322,63,214.32400238237
"Rabid Beaded Torch",5505.15,2057,8899,81,10,267.63004375304
"Rabid Beaded Caller",3204.3,3167,7498,43,19,101.17777076097
"Valkyrie Corrupted Skeggox",202325.9,210665,485874,94,16,96.041535138727
"Valkyrie Corrupted Shard",82379,180269,309000,189,17,45.697818260488
"Valkyrie Corrupted Avenger",122398,200600,380000,155,20,61.015952143569
"Valkyrie Corrupted Sledgehammer",57799,222597,329880,52,13,25.965758747872
"Valkyrie Corrupted Harpoon Gun",59603.3,182711,285078,92,16,32.621626503057
"Valkyrie Corrupted Cudgel",24217.9,170000,228494,18,17,14.245823529412
"Valkyrie Corrupted Revolver",41937,212126,298900,78,13,19.769853766158
"Valkyrie Corrupted Blaster",54383.3,200613,299998,92,24,27.108562256683
"Valkyrie Corrupted Bulwark",29998,140000,200000,51,13,21.427142857143
"Valkyrie Corrupted Short Bow",88986,251012,400000,128,17,35.450894777939
"Valkyrie Corrupted Spear",56462.15,202700,304899,45,8,27.855032067094
"Valkyrie Corrupted Branch",31029.3,240797,319798,89,15,12.886082467805
"Valkyrie Corrupted Trident",42639.65,182599,264989,55,8,23.351524378556
"Valkyrie Corrupted Harbinger",27697.3,125299,179998,27,15,22.104964923902
"Cleric's Pearl Carver",7213,26785,40000,141,42,26.929251446705
"Berserker's Pearl Carver",23896.3,61100,99998,182,26,39.110147299509
"Rampager's Pearl Carver",16277,25371,49000,62,34,64.15592605731
"Knight's Pearl Carver",16635,25013,49000,55,16,66.505417183065
"Carrion Pearl Sabre",11403.7,25401,43302,72,36,44.894689185465
"Cleric's Pearl Sabre",3296.15,29001,37999,82,27,11.36564256405
"Berserker's Pearl Sabre",9996.3,75000,99998,96,29,13.3284
"Rampager's Pearl Sabre",4107.15,29023,38979,55,27,14.151362712332
"Knight's Pearl Sabre",7650.15,30172,44499,66,29,25.355130584648
"Valkyrie Pearl Sabre",4687.15,27610,37999,63,45,16.976276711336
"Carrion Pearl Bludgeoner",6786.15,11316,21299,71,15,59.969512195122
"Cleric's Pearl Bludgeoner",29933,21065,60000,77,31,142.09826726798
"Berserker's Pearl Bludgeoner",13477,50271,75000,41,25,26.808696863003
"Rampager's Pearl Bludgeoner",5483.5,11336,19790,42,37,48.372441778405
"Knight's Pearl Bludgeoner",10535.1,12469,27066,67,19,84.490336033363
"Valkyrie Pearl Bludgeoner",5182.15,11390,19499,59,26,45.497366110623
"Carrion Pearl Shell",12336.6,11271,27776,71,15,109.4543518765
"Cleric's Pearl Shell",3926.6,13969,21056,68,57,28.109385066934
"Berserker's Pearl Shell",19984.6,14010,39996,75,34,142.64525339044
"Rampager's Pearl Shell",5819.6,11090,19896,74,21,52.476104598738
"Knight's Pearl Shell",12382.5,12172,28890,55,36,101.7293789024
"Carrion Krait Battleaxe",2205.3,2891,5998,58,33,76.281563472847
"Berserker's Krait Battleaxe",2021.55,2909,5803,151,79,69.492952904778
"Carrion Pearl Reaver",6460.3,14089,24178,67,43,45.853502732628
"Cleric's Pearl Reaver",12699,14074,31500,117,51,90.230211737957
"Rampager's Pearl Reaver",5888.5,14467,23950,92,35,40.702979194028
"Knight's Pearl Reaver",9288.55,16773,30663,65,31,55.377988433792
"Valkyrie Pearl Reaver",21826.65,16293,44849,110,11,133.96335849751
"Carrion Pearl Broadsword",4050,30798,41000,168,42,13.150204558738
"Cleric's Pearl Broadsword",3534,31314,41000,167,87,11.285686913202
"Berserker's Pearl Broadsword",6127.85,54204,70981,553,160,11.305161980666
"Rampager's Pearl Broadsword",4446.15,30401,40999,201,112,14.625012335121
"Knight's Krait Warhammer",2168.65,3345,6489,223,73,64.832585949178
"Carrion Pearl Crusher",6601,18897,30000,69,32,34.9314706038
"Berserker's Pearl Crusher",34921.05,31303,77913,95,28,111.55815736511
"Rampager's Pearl Crusher",3524.95,19038,26547,111,85,18.515337745562
"Knight's Pearl Crusher",3627.4,21398,29444,83,82,16.952051593607
"Berserker's Krait Pilum",3648.8,4210,9248,134,132,86.669833729216
"Carrion Pearl Impaler",9845.15,11402,24999,51,40,86.345816523417
"Cleric's Pearl Impaler",6197.15,11310,20599,52,36,54.793545534925
"Rampager's Pearl Impaler",5861.2,11130,19992,66,27,52.661275831087
"Knight's Pearl Impaler",7946.45,13333,25037,80,20,59.599864996625
"Ravaging Bandit Shiv",2387.15,6025,9899,171,33,39.620746887967
"Vigorous Bandit Shiv",2415.9,5550,9374,120,62,43.52972972973
"Hearty Bandit Shiv",2355.55,6723,10683,79,38,35.037185780158
"Rejuvenating Dredge Bloodletter",3000.75,5221,9675,60,22,57.474621719977
"Vigorous Dredge Bloodletter",3454.9,4001,8774,47,44,86.350912271932
"Carrion Ogre Dirk",7857.9,4545,14594,66,50,172.89108910891
"Valkyrie Ogre Dirk",9530,4918,17000,25,13,193.77795851972
"Rampager's Ogre Dirk",3616.3,6410,11798,35,24,56.416536661466
"Knight's Ogre Dirk",5689.6,4335,11796,79,11,131.24798154556
"Ravaging Bandit Slicer",2423,5905,9800,50,22,41.033022861981
"Rejuvenating Bandit Slicer",3065.95,5013,9507,63,12,61.159984041492
"Honed Bandit Slicer",2223,5510,9100,65,37,40.344827586207
"Strong Bandit Slicer",2166.75,5460,8975,55,45,39.684065934066
"Vigorous Bandit Slicer",2359,6054,9900,81,28,38.965972910472
"Hearty Bandit Slicer",4088.75,6105,11995,117,27,66.973791973792
"Rejuvenating Dredge Edge",2611.3,7500,11898,48,18,34.817333333333
"Strong Dredge Edge",3177,5236,9900,125,92,60.676088617265
"Hearty Dredge Edge",2510.9,6492,10594,88,36,38.676833025262
"Cleric's Ogre Scimitar",7500.35,6515,16491,42,13,115.12432847276
"Berserker's Ogre Scimitar",6742.8,5995,14988,33,7,112.47372810676
"Valkyrie Ogre Scimitar",11183.6,10010,24936,31,16,111.72427572428
"Rampager's Ogre Scimitar",11344.7,5553,19882,17,12,204.29857734558
"Knight's Ogre Scimitar",13930,4683,21900,33,6,297.45889387145
"Ravaging Bandit Mallet",3980.1,2007,7046,28,25,198.31091180867
"Rejuvenating Bandit Mallet",3859.65,4544,9889,52,10,84.939480633803
"Honed Bandit Mallet",2150.25,4346,7645,21,8,49.47653014266
"Strong Bandit Mallet",3296,5117,9900,45,8,64.412741840922
"Vigorous Bandit Mallet",4289.3,4037,9798,37,20,106.24969036413
"Hearty Bandit Mallet",5608,2805,9900,72,13,199.92869875223
"Ravaging Dredge Flanged Mace",5690.15,1515,8479,52,17,375.58745874587
"Rejuvenating Dredge Flanged Mace",2539.15,6247,10339,36,22,40.645910036818
"Honed Dredge Flanged Mace",3666.05,4707,9853,47,29,77.885064797111
"Strong Dredge Flanged Mace",5016,3992,10600,49,22,125.65130260521
"Hearty Dredge Flanged Mace",4091,4339,9920,122,34,94.284397326573
"Cleric's Ogre Bludgeoner",7144.45,6621,16197,33,11,107.90590545235
"Berserker's Ogre Bludgeoner",2331.9,772,3654,325,45,302.05958549223
"Knight's Ogre Bludgeoner",4698.6,1909,7776,46,21,246.1288632792
"Ravaging Bandit Ward",3122.3,3334,7598,85,36,93.650269946011
"Rejuvenating Bandit Ward",2644.15,5768,9899,44,12,45.841712898752
"Honed Bandit Ward",3232,4416,9000,55,29,73.188405797101
"Strong Bandit Ward",3408.15,4919,9799,42,22,69.28542386664
"Vigorous Bandit Ward",2488,5925,9900,94,36,41.991561181435
"Hearty Bandit Ward",2636,5777,9900,54,17,45.629219317985
"Ravaging Dredge Barricade",4933.75,5260,11995,38,23,93.79752851711
"Honed Dredge Barricade",7315.8,2192,11188,37,19,333.75
"Vigorous Dredge Barricade",8141.15,2039,11979,29,15,399.27170181461
"Hearty Dredge Barricade",6793,1960,10300,90,30,346.58163265306
"Cleric's Ogre Bulwark",12008.5,4454,19370,52,16,269.61158509205
"Berserker's Ogre Bulwark",2317.75,1076,3995,116,31,215.40427509294
"Rampager's Ogre Bulwark",4022.6,2024,7116,74,13,198.74505928854
"Ravaging Bandit Cleaver",3894.55,4572,9963,47,21,85.182633420822
"Rejuvenating Bandit Cleaver",4756.3,3655,9898,54,20,130.13132694938
"Honed Bandit Cleaver",2460.45,5950,9897,77,32,41.352100840336
"Strong Bandit Cleaver",4403.6,4941,10996,84,43,89.123659178304
"Hearty Bandit Cleaver",3362.6,5047,9896,123,37,66.625718248464
"Ravaging Dredge Bonehewer",4152.25,4350,10005,27,14,95.454022988506
"Honed Dredge Bonehewer",3846.5,4643,9990,37,23,82.845143226362
"Strong Dredge Bonehewer",2361,6052,9900,64,44,39.011896893589
"Vigorous Dredge Bonehewer",4344.25,4141,9985,39,16,104.90823472591
"Hearty Dredge Bonehewer",4144.6,4350,9996,74,51,95.27816091954
"Berserker's Ogre Cleaver",7069.2,3513,12452,120,35,201.22971818958
"Rampager's Ogre Cleaver",5019.15,2220,8519,57,18,226.08783783784
"Ravaging Bandit Sunderer",2274.75,5607,9275,90,76,40.569823434992
"Rejuvenating Bandit Sunderer",5617.15,2710,9799,96,24,207.27490774908
"Vigorous Bandit Sunderer",4264,5934,12000,170,10,71.85709470846
"Cleric's Ogre Longsword",5786.65,5337,13089,61,19,108.42514521267
"Berserker's Ogre Longsword",5625.1,5224,12766,70,28,107.6780245023
"Valkyrie Ogre Longsword",9233.4,3518,15004,61,35,262.46162592382
"Rampager's Ogre Longsword",6476.8,3456,11688,63,15,187.40740740741
"Knight's Ogre Longsword",6142.3,5499,13698,47,35,111.69849063466
"Ravaging Bandit Demolisher",3132.5,4558,9050,48,25,68.725318121983
"Rejuvenating Bandit Demolisher",3196.25,4524,9085,46,27,70.650972590628
"Honed Bandit Demolisher",3893.35,4512,9891,62,36,86.288785460993
"Strong Bandit Demolisher",2516.3,5810,9798,50,32,43.309810671256
"Vigorous Bandit Demolisher",2198.15,6554,10299,68,18,33.53906011596
"Hearty Bandit Demolisher",3289.45,5121,9897,64,32,64.234524506932
"Rejuvenating Dredge Pulverizer",4758.15,2311,8319,26,13,205.89138900909
"Honed Dredge Pulverizer",4212.05,5113,10973,34,13,82.379229415216
"Strong Dredge Pulverizer",3358.3,4713,9498,34,19,71.256100148525
"Vigorous Dredge Pulverizer",2458.65,5911,9849,40,35,41.594484858738
"Hearty Dredge Pulverizer",4189.7,5262,11122,50,27,79.621816799696
"Carrion Ogre Breaker",3933.25,1050,5865,137,8,374.59523809524
"Berserker's Ogre Breaker",3791.05,3001,7993,58,23,126.3262245918
"Valkyrie Ogre Breaker",2812.5,1903,5550,73,16,147.7929584866
"Rampager's Ogre Breaker",3565.05,1068,5453,108,14,333.80617977528
"Knight's Ogre Breaker",4402.5,2013,7550,39,13,218.70342771982
"Rejuvenating Bandit Spear",4849.35,3556,9891,51,21,136.3709223847
"Honed Bandit Spear",2733.15,5747,9979,33,13,47.557856272838
"Strong Bandit Spear",2724.15,5773,9999,35,27,47.187770656504
"Vigorous Bandit Spear",3323.45,5240,10077,53,9,63.424618320611
"Hearty Bandit Spear",2915.45,5495,9897,82,18,53.056414922657
"Ravaging Dredge Spear",5696.95,3640,10987,24,8,156.50961538462
"Honed Dredge Spear",3041.7,5934,10562,31,26,51.258847320526
"Hearty Dredge Spear",6643.9,3532,11974,44,28,188.10588901472
"Berserker's Ogre Javelin",8128.6,3851,14096,34,27,211.07764217086
"Valkyrie Ogre Javelin",6448.9,1925,9854,92,27,335.00779220779
"Rampager's Ogre Javelin",6245.75,1772,9435,35,30,352.46896162528
"Wisteria",3227.45,13768,19997,124,30,23.441676350959
"Foulbear Lucky Feathers",23178.45,15067,44997,55,10,153.83586646313
"Old Reliable",17380,10668,33000,84,26,162.91713535808
"Wall of Thorns",13480.25,12974,31125,107,34,103.90203483891
"Final Rest",8368.8,63104,84088,341,94,13.2619168357
"Rhendak's Trident",48852.45,60198,128297,25,11,81.152945280574
"Shard of the Deep",27300.75,40778,80095,90,18,66.949703271372
"Call of the Commissar",7142.3,14172,25078,50,7,50.397262207169
"Cinderspire's Tactics",12517.15,13014,30039,77,24,96.182188412479
"Pillar of Ulgoth",17184,48094,76800,142,89,35.730028693808
"Cinderspire's Rage",25072.45,30003,64797,144,14,83.566476685665
"Knight's Intricate Silk Insignia",7925,2358,12100,821,253,336.08990670059
"Carrion Embroidered Linen Insignia",2882.25,3036,6965,1090,53,94.935770750988
"Carrion Intricate Gossamer Insignia",3578,32800,42800,133,103,10.908536585366
"Cleric's Intricate Gossamer Insignia",5028,30500,41800,386,296,16.485245901639
"Valkyrie Intricate Gossamer Insignia",4038,32000,42400,321,113,12.61875
"Carrion Orichalcum Imbued Inscription",9894,55469,76900,44,34,17.836990030467
"Cleric's Orichalcum Imbued Inscription",9065,54003,74200,84,60,16.786104475677
"Assassin's Orichalcum Imbued Inscription",21658,46000,79600,111,53,47.082608695652
"Rampager's Orichalcum Imbued Inscription",34018,28200,73200,293,49,120.63120567376
